Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code (FBS),Item,Year Code,Year,Unit,Value,Flag,Flag Description
"FBS","Food Balances (2010-)","068","Bolivia (Plurinational State of)","664","Food supply (kcal/capita/day)","S2736","Offals, Edible","2020","2020","kcal/cap/d","14.55","E","Estimated value"
"FBS","Food Balances (2010-)","068","Bolivia (Plurinational State of)","664","Food supply (kcal/capita/day)","S2960","Fish, Seafood","2010","2010","kcal/cap/d","4","E","Estimated value"
"FBS","Food Balances (2010-)","068","Bolivia (Plurinational State of)","664","Food supply (kcal/capita/day)","S2960","Fish, Seafood","2015","2015","kcal/cap/d","6","E","Estimated value"
"FBS","Food Balances (2010-)","068","Bolivia (Plurinational State of)","664","Food supply (kcal/capita/day)","S2960","Fish, Seafood","2020","2020","kcal/cap/d","6","E","Estimated value"
"FBS","Food Balances (2010-)","070","Bosnia and Herzegovina","511","Total Population - Both sexes","S2501","Population","2010","2010","1000 No","3811.09","X","Figure from international organizations"
"FBS","Food Balances (2010-)","070","Bosnia and Herzegovina","511","Total Population - Both sexes","S2501","Population","2015","2015","1000 No","3524.32","X","Figure from international organizations"
"FBS","Food Balances (2010-)","070","Bosnia and Herzegovina","511","Total Population - Both sexes","S2501","Population","2020","2020","1000 No","3318.41","X","Figure from international organizations"
"FBS","Food Balances (2010-)","070","Bosnia and Herzegovina","664","Food supply (kcal/capita/day)","S2736","Offals, Edible","2010","2010","kcal/cap/d","11.39","E","Estimated value"
"FBS","Food Balances (2010-)","070","Bosnia and Herzegovina","664","Food supply (kcal/capita/day)","S2736","Offals, Edible","2015","2015","kcal/cap/d","9.24","E","Estimated value"
"FBS","Food Balances (2010-)","070","Bosnia and Herzegovina","664","Food supply (kcal/capita/day)","S2736","Offals, Edible","2020","2020","kcal/cap/d","7.33","E","Estimated value"
"FBS","Food Balances (2010-)","070","Bosnia and Herzegovina","664","Food supply (kcal/capita/day)","S2960","Fish, Seafood","2010","2010","kcal/cap/d","12","E","Estimated value"
"FBS","Food Balances (2010-)","070","Bosnia and Herzegovina","664","Food supply (kcal/capita/day)","S2960","Fish, Seafood","2015","2015","kcal/cap/d","12","E","Estimated value"
"FBS","Food Balances (2010-)","070","Bosnia and Herzegovina","664","Food supply (kcal/capita/day)","S2960","Fish, Seafood","2020","2020","kcal/cap/d","16","E","Estimated value"
